order_item_id,order_date,delivery_date,item_id,item_size,item_color,brand_id,item_price,user_id,user_title,user_dob,user_state,user_reg_date
292,6/23/2016,6/26/2016,291,42,stained,45,89.9,1867,Mrs,4/8/1965,1005,2/17/2015
293,6/23/2016,6/26/2016,100,42,blue,43,69.9,1867,Mrs,4/8/1965,1005,2/17/2015
300,6/23/2016,6/26/2016,32,l,grey,3,21.9,8283,Family,2/7/1970,1015,2/17/2015
301,6/23/2016,6/26/2016,32,l,white,3,21.9,8283,Family,2/7/1970,1015,2/17/2015
319,6/23/2016,6/27/2016,468,m,denim,25,69.9,30872,Mr,NA,1010,6/24/2016
336,6/23/2016,6/26/2016,27,9,magenta,19,39.9,22845,Mrs,8/17/1964,1010,4/9/2015
358,6/23/2016,6/27/2016,430,38,red,38,129.9,30878,Mrs,11/11/1970,1010,2/23/2016
385,6/23/2016,6/26/2016,328,l,blue,37,29.9,3211,Mrs,12/7/1982,1001,2/3/2016
408,6/23/2016,6/26/2016,533,l,ocher,74,29.9,30769,Mrs,8/11/1958,1010,2/17/2015
417,6/23/2016,6/26/2016,90,40,blue,24,59.9,11289,Mrs,10/29/1971,1002,2/6/2016
419,6/23/2016,6/27/2016,255,xxl,olive,37,19.9,30889,Mrs,12/10/1971,1001,3/3/2015
426,6/23/2016,6/26/2016,517,37,black,1,79.9,30890,Mrs,7/4/1957,1010,1/28/2016
435,6/23/2016,6/27/2016,57,l,petrol,3,34.9,29670,Mrs,NA,1010,6/19/2016
446,6/23/2016,6/26/2016,425,xl,grey,46,24.9,21433,Mrs,6/5/1965,1002,4/18/2015
451,6/23/2016,6/26/2016,423,l,red,33,12.9,22069,Mrs,11/21/1900,1008,10/2/2015
455,6/23/2016,6/26/2016,53,44,denim,30,19.9,22069,Mrs,11/21/1900,1008,10/2/2015
487,6/23/2016,6/27/2016,313,xl,orange,11,59.9,30906,Mrs,NA,1007,6/24/2016
510,6/23/2016,6/26/2016,114,39,black,43,79.9,5344,Mrs,8/30/1970,1001,6/24/2016
518,6/23/2016,6/26/2016,172,42,purple,40,89.9,11260,Mrs,11/21/1950,1010,4/24/2015
523,6/23/2016,6/26/2016,293,xxl,berry,5,49.9,11260,Mrs,11/21/1950,1010,4/24/2015
530,6/23/2016,6/26/2016,296,6,ecru,19,39.9,21082,Mrs,8/23/1966,1002,4/20/2015
534,6/23/2016,6/26/2016,226,xxl,grey,3,24.9,9695,Mrs,NA,1010,1/17/2016
540,6/23/2016,6/26/2016,423,m,khaki,33,12.9,15323,Mrs,2/28/1965,1007,4/21/2016
546,6/22/2016,6/26/2016,27,6,black,19,39.9,19824,Mrs,6/21/1970,1008,2/17/2015
548,6/22/2016,6/26/2016,173,m,brown,20,19.9,18912,Mrs,6/10/1965,1002,2/17/2015
551,6/22/2016,6/26/2016,896,m,grey,33,9.9,18912,Mrs,6/10/1965,1002,2/17/2015
567,6/22/2016,6/27/2016,271,xl,ash,5,59.9,9214,Mrs,2/23/1959,1015,5/13/2015
570,6/22/2016,6/27/2016,25,l,blue,5,79.9,9214,Mrs,2/23/1959,1015,5/13/2015
575,6/23/2016,6/27/2016,27,6,magenta,19,39.9,30921,Mr,10/21/1972,1010,12/7/2015
594,6/23/2016,6/26/2016,197,46,ocher,1,149.9,30927,Mrs,12/18/1955,1010,4/28/2015
610,6/22/2016,6/27/2016,157,unsized,purple,32,0,30928,Mrs,4/30/1946,1010,8/1/2015
614,6/22/2016,6/26/2016,222,xl,purple,3,19.9,30929,Mrs,12/16/1957,1010,2/17/2015
616,6/22/2016,6/26/2016,23,40,stained,16,119.9,30929,Mrs,12/16/1957,1010,2/17/2015
618,6/22/2016,7/2/2016,173,l,brown,20,19.9,30929,Mrs,12/16/1957,1010,2/17/2015
657,6/23/2016,6/28/2016,246,39,ocher,40,79.9,21824,Mrs,3/31/1967,1010,2/27/2016
658,6/23/2016,NA,27,5,black,19,79.9,20131,Mrs,4/30/1954,1001,5/16/2016
668,6/25/2016,6/26/2016,217,xxl,nature,29,59.9,7265,Mrs,12/1/1962,1005,12/6/2015
676,6/24/2016,6/27/2016,204,l,white,5,59.9,23102,Mrs,12/29/1959,1004,6/23/2016
677,6/24/2016,6/27/2016,204,l,brown,5,59.9,23102,Mrs,12/29/1959,1004,6/23/2016
693,6/24/2016,6/26/2016,61,m,orange,28,79.9,18661,Mrs,8/19/1966,1001,2/17/2015
702,6/24/2016,6/27/2016,121,40,grey,43,69.9,30947,Mrs,11/22/1966,1008,6/25/2016
706,6/24/2016,6/27/2016,439,35,blue,51,69.9,30947,Mrs,11/22/1966,1008,6/25/2016
711,6/24/2016,6/26/2016,402,xxl,grey,46,14.9,16312,Mrs,12/5/1968,1010,2/17/2015
712,6/24/2016,6/26/2016,49,48,stained,11,69.9,16312,Mrs,12/5/1968,1010,2/17/2015
725,6/24/2016,6/26/2016,96,l,blau,3,16.9,24003,Mrs,5/9/1969,1008,5/29/2016
728,6/24/2016,6/27/2016,210,xl,black,2,39.9,30951,Mrs,11/5/1976,1011,12/12/2015
749,6/24/2016,7/19/2016,36,37,blue,1,79.9,21761,Mrs,8/23/1955,1001,6/25/2016
751,6/24/2016,6/27/2016,370,s,ocher,31,49.9,30955,Mrs,5/5/1966,1010,7/5/2015
756,6/24/2016,6/27/2016,972,38,anthracite,90,89.9,30955,Mrs,5/5/1966,1010,7/5/2015
757,6/24/2016,6/27/2016,191,s,white,3,21.9,30955,Mrs,5/5/1966,1010,7/5/2015
765,6/24/2016,8/1/2016,895,24,darkblue,39,39.95,30956,Mrs,9/27/1954,1010,6/25/2016
771,6/24/2016,6/27/2016,31,46,khaki,22,39.98,30961,Mr,7/23/1972,1002,6/25/2016
784,6/25/2016,6/26/2016,510,40,ecru,55,159.9,6436,Mrs,2/18/1963,1002,4/11/2016
789,6/25/2016,12/31/1994,415,41,grey,1,89.9,29174,Mrs,12/1/1963,1003,6/17/2016
792,6/25/2016,6/27/2016,247,40,black,40,99.9,30971,Mrs,5/4/1967,1006,6/26/2016
796,6/25/2016,6/26/2016,441,41,black,53,39.9,2219,Mrs,4/29/1977,1001,6/26/2016
815,6/25/2016,6/26/2016,157,unsized,purple,32,0,30982,Mrs,3/18/1961,1002,11/8/2015
824,6/25/2016,6/27/2016,415,40,black,1,79.9,30984,Mrs,2/4/1982,1001,5/26/2015
829,6/25/2016,6/27/2016,641,xxl,black,48,149.95,10852,Mrs,2/17/1961,1010,2/26/2016
876,6/24/2016,6/26/2016,242,m,black,20,59.9,317,Mrs,2/4/1955,1012,3/18/2016
880,6/24/2016,6/27/2016,69,m,green,5,54.9,30997,Mrs,NA,1001,6/25/2016
892,6/24/2016,6/27/2016,61,xl,orange,28,79.9,31000,Mrs,NA,1008,6/25/2016
898,6/24/2016,NA,59,unsized,green,32,19.9,31000,Mrs,NA,1008,6/25/2016
906,6/24/2016,6/27/2016,242,xl,black,20,59.9,31005,Mrs,3/3/1965,1001,6/25/2016
918,6/24/2016,6/27/2016,140,42,blue,6,69.9,31006,Mrs,11/12/1968,1010,2/17/2015
928,6/24/2016,NA,219,40,purple,38,69.9,31008,Mrs,1/18/1979,1010,2/17/2015
931,6/24/2016,6/27/2016,8,41,stained,8,12.9,31009,Mrs,8/30/1977,1002,6/25/2016
935,6/24/2016,6/26/2016,143,xxl,brown,5,49.9,19973,Mrs,11/21/1949,1001,5/19/2015
942,6/24/2016,6/27/2016,138,xl,grey,46,19.9,31010,Mrs,NA,1003,6/25/2016
943,6/24/2016,6/27/2016,133,39,brown,38,139.9,31010,Mrs,NA,1003,6/25/2016
957,6/24/2016,NA,736,38+,grey,1,149.9,31015,Mrs,10/9/1968,1001,4/17/2015
969,6/24/2016,6/27/2016,6,24,black,6,79.9,29621,Mrs,12/3/1974,1004,6/18/2016
971,6/24/2016,6/27/2016,212,xl,black,5,69.9,29621,Mrs,12/3/1974,1004,6/18/2016
980,6/24/2016,6/28/2016,45,m,black,5,79.9,31025,Mrs,9/21/1958,1010,2/17/2015
1009,6/24/2016,NA,604,39,black,1,159.9,31033,Mrs,11/2/1986,1011,6/25/2016
1018,6/24/2016,6/27/2016,635,41,purple,15,42.95,31035,Mrs,11/23/1962,1015,6/25/2016
1039,6/24/2016,NA,83,46,ocher,39,49.95,21430,Mrs,3/20/1969,1006,5/30/2016
1046,6/24/2016,6/27/2016,683,unsized,grey,46,7.9,31039,Mrs,NA,1015,2/29/2016
1050,6/24/2016,6/26/2016,90,38,red,24,69.9,30169,Mrs,12/28/1965,1008,6/25/2016
1076,6/24/2016,NA,85,39,blue,40,109.9,24279,Mrs,8/14/1952,1010,5/30/2016
1087,6/24/2016,NA,660,38,khaki,39,39.95,31047,Mrs,12/5/1971,1008,2/17/2015
1094,6/24/2016,6/26/2016,992,48,denim,25,59.9,31051,Mrs,5/30/1976,1008,5/31/2015
1098,6/24/2016,6/26/2016,200,8,grey,12,69.9,8322,Mrs,2/15/1973,1007,4/14/2016
1107,6/24/2016,6/26/2016,146,l,black,3,21.9,18769,Mrs,12/4/1959,1008,5/13/2016
1111,6/25/2016,NA,660,42,nature,39,39.95,31052,Mrs,6/25/1976,1008,3/28/2016
1112,6/25/2016,6/26/2016,2,l,green,2,19.9,5836,Mrs,6/29/1953,1015,2/17/2015
1116,6/25/2016,6/26/2016,57,xxl,red,3,29.9,7194,Mrs,7/30/1968,1006,7/29/2015
1118,6/24/2016,6/27/2016,4,5,black,4,79.9,31053,Mrs,4/8/1957,1002,6/25/2016
1120,6/24/2016,7/6/2016,298,xl,petrol,36,69.9,31054,Mrs,10/8/1961,1007,6/25/2016
1124,6/24/2016,6/26/2016,896,l,grey,33,9.9,13839,Mrs,11/11/1947,1011,2/17/2015
1133,6/25/2016,6/26/2016,655,37,red,26,49.9,31057,Mrs,7/26/1967,1013,2/17/2015
1146,6/24/2016,6/26/2016,27,5+,black,19,39.9,12282,Mrs,10/26/1967,1008,3/25/2015
1152,6/24/2016,6/27/2016,441,39,black,53,39.9,31062,Mrs,4/12/1957,1010,9/26/2015
1181,6/24/2016,6/26/2016,173,xl,brown,20,19.9,30376,Mrs,8/8/1947,1008,6/22/2016
1183,6/24/2016,NA,31,44,black,22,39.98,21837,Mrs,5/12/1967,1001,2/18/2016
1193,6/24/2016,6/26/2016,255,xl,red,37,19.9,19295,Mrs,7/25/1954,1001,6/13/2015
1218,6/24/2016,6/26/2016,215,xl,orange,28,59.9,10946,Mrs,12/1/1959,1002,8/13/2015
1222,6/24/2016,6/26/2016,173,xl,brown,20,19.9,10946,Mrs,12/1/1959,1002,8/13/2015
1230,6/24/2016,6/26/2016,22,s,green,14,24.9,31084,Mrs,7/24/1969,1008,6/25/2016
1259,6/24/2016,6/26/2016,255,xxl,red,37,19.9,12582,Mrs,1/22/1958,1008,6/25/2016
1273,6/24/2016,6/27/2016,141,xl,denim,25,69.9,31094,Mrs,NA,1013,6/25/2016
1280,6/24/2016,6/26/2016,291,39,stained,45,89.9,31097,Mrs,5/24/1975,1010,5/19/2015
1287,6/24/2016,6/26/2016,32,xxl,white,3,21.9,23516,Mrs,11/21/1949,1006,8/21/2015
1301,6/24/2016,6/26/2016,862,s,ocher,28,49.9,4743,Mrs,3/18/1958,1001,2/12/2016
1302,6/24/2016,6/26/2016,269,s,ocher,42,59.9,4743,Mrs,3/18/1958,1001,2/12/2016
1305,6/24/2016,6/27/2016,13,41+,brown,1,139.9,29826,Mrs,4/26/1968,1002,8/22/2015
1316,6/24/2016,6/26/2016,242,l,black,20,59.9,23659,Mrs,1/2/1963,1010,2/17/2015
1317,6/23/2016,6/27/2016,100,41,brown,43,69.9,31109,Mrs,5/18/1979,1010,2/17/2015
1341,6/24/2016,6/27/2016,346,l,blue,5,69.9,31111,Mrs,11/8/1958,1010,6/25/2016
1343,6/24/2016,6/27/2016,82,l,berry,5,69.9,31111,Mrs,11/8/1958,1010,6/25/2016
1347,6/24/2016,6/26/2016,295,l,blue,36,59.9,30274,Mr,4/7/1957,1008,6/21/2016
1348,6/24/2016,6/26/2016,56,46,denim,25,59.9,3633,Company,5/7/1981,1003,2/6/2016
1351,6/24/2016,6/26/2016,875,xl,olive,9,89.9,3633,Company,5/7/1981,1003,2/6/2016
1352,6/24/2016,6/26/2016,213,l,ash,3,39.9,3633,Company,5/7/1981,1003,2/6/2016
1354,6/24/2016,6/26/2016,142,l,grey,49,99.9,3633,Company,5/7/1981,1003,2/6/2016
1360,6/24/2016,6/27/2016,163,38,blue,53,49.9,24293,Mrs,3/8/1972,1010,2/17/2015
1364,6/24/2016,6/26/2016,63,xxl,khaki,33,14.9,31114,Mrs,2/21/1975,1010,3/1/2015
1377,6/24/2016,6/27/2016,897,xxl,grey,33,9.9,2698,Mrs,NA,1010,1/17/2016
1383,6/24/2016,6/26/2016,409,xxl,black,5,99.9,3984,Mrs,9/29/1955,1006,2/17/2015
1386,6/24/2016,6/27/2016,248,40,black,8,49.9,16167,Mrs,NA,1002,5/4/2016
1401,6/24/2016,7/2/2016,895,42,white,39,39.95,31118,Mrs,8/16/1959,1007,11/16/2015
1405,6/24/2016,6/26/2016,3,xxl,grey,3,19.9,9798,Mrs,4/26/1967,1002,2/17/2015
1413,6/24/2016,6/27/2016,272,38,black,53,39.9,31120,Mrs,NA,1010,6/25/2016
1414,6/24/2016,6/27/2016,163,38,black,53,49.9,31120,Mrs,NA,1010,6/25/2016
1418,6/24/2016,6/28/2016,295,l,blue,36,59.9,6582,Mrs,4/4/1956,1010,4/30/2016
1426,6/24/2016,NA,33,xxl,red,5,59.9,31124,Mrs,4/15/1967,1011,6/25/2016
1437,6/24/2016,6/26/2016,403,44,white,14,39.9,22810,Mrs,6/20/1973,1008,2/17/2015
1438,6/24/2016,6/26/2016,156,44,blue,34,29.9,22810,Mrs,6/20/1973,1008,2/17/2015
1443,6/24/2016,NA,660,23,grey,39,39.95,22810,Mrs,6/20/1973,1008,2/17/2015
1452,6/24/2016,6/26/2016,143,l,black,5,49.9,6750,Mrs,2/24/1966,1010,2/17/2015
1469,6/24/2016,6/26/2016,96,m,ash,3,16.9,15846,Mrs,2/2/1948,1002,5/3/2016
1493,6/24/2016,6/26/2016,579,xl,brown,3,19.9,5837,Mrs,8/5/1966,1002,5/23/2016
1498,6/24/2016,6/27/2016,492,19,black,6,49.9,26982,Mrs,9/29/1961,1007,8/17/2015
1502,6/24/2016,6/27/2016,1226,36,anthracite,47,39.9,26982,Mrs,9/29/1961,1007,8/17/2015
1505,6/24/2016,6/26/2016,2,l,mocca,2,19.9,20425,Mrs,4/30/1956,1008,5/18/2016
1517,6/24/2016,7/18/2016,4,4,grey,4,79.9,31143,Mrs,2/15/1960,1008,2/17/2015
1530,6/24/2016,6/27/2016,100,39,black,43,69.9,31150,Mrs,NA,1010,6/25/2016
1536,6/24/2016,6/26/2016,650,6+,blue,4,99.9,30392,Mrs,5/5/1968,1007,6/22/2016
1537,6/24/2016,6/26/2016,623,m,grey,5,49.9,31151,Mrs,10/25/1965,1002,2/17/2015
1542,6/24/2016,6/26/2016,222,l,denim,3,19.9,31151,Mrs,10/25/1965,1002,2/17/2015
1543,6/24/2016,6/26/2016,9,6,grey,4,79.95,31151,Mrs,10/25/1965,1002,2/17/2015
1544,6/24/2016,6/26/2016,138,l,grey,46,19.9,31151,Mrs,10/25/1965,1002,2/17/2015
1550,6/24/2016,6/26/2016,173,m,brown,20,19.9,2748,Mrs,2/12/1966,1015,4/12/2015
1596,6/24/2016,6/28/2016,343,m,blue,37,49.9,31163,Mrs,3/6/1974,1010,6/5/2015
1629,6/24/2016,6/27/2016,859,s,black,6,49.9,31167,Mrs,4/17/1961,1001,6/25/2016
1651,6/24/2016,6/26/2016,84,m,blue,5,59.9,29381,Mrs,4/24/1960,1001,2/17/2015
1665,6/24/2016,6/28/2016,465,xl,ash,49,59.9,31178,Mrs,1/30/1960,1011,6/25/2016
1678,6/24/2016,6/26/2016,105,39,purple,45,69.9,7733,Mrs,2/23/1974,1015,2/17/2015
1682,6/24/2016,6/26/2016,397,39,blue,53,39.9,7733,Mrs,2/23/1974,1015,2/17/2015
1684,6/24/2016,NA,110,38,grey,1,89.9,7733,Mrs,2/23/1974,1015,2/17/2015
1687,6/24/2016,6/26/2016,138,l,blue,46,19.9,20347,Mrs,1/8/1960,1001,2/17/2015
1688,6/24/2016,6/26/2016,874,1,brown,21,49.9,31181,Mrs,4/19/1967,1002,3/23/2015
1691,6/24/2016,6/26/2016,454,41,red,1,99.9,31181,Mrs,4/19/1967,1002,3/23/2015
1717,6/23/2016,6/27/2016,57,l,blue,3,34.9,31185,Mrs,4/7/1954,1010,6/24/2016
1719,6/23/2016,6/27/2016,32,l,grey,3,21.9,31185,Mrs,4/7/1954,1010,6/24/2016
1733,6/23/2016,NA,32,s,white,3,21.9,11429,Mrs,12/11/1963,1010,2/17/2015
1734,6/23/2016,6/26/2016,9,6,grey,4,79.95,10590,Mrs,2/15/1943,1002,6/24/2016
1735,6/23/2016,6/26/2016,403,46,black,14,39.9,10590,Mrs,2/15/1943,1002,6/24/2016
1753,6/23/2016,6/26/2016,352,m,ocher,11,39.9,31188,Mrs,7/26/1963,1002,7/27/2015
1755,6/23/2016,6/26/2016,136,43,black,38,139.9,31189,Mrs,2/13/1950,1008,3/22/2015
1762,6/23/2016,6/26/2016,183,l,berry,5,79.9,5073,Mrs,12/10/1968,1001,2/17/2015
1780,6/23/2016,6/26/2016,210,l,black,2,39.9,31192,Mrs,11/16/1955,1003,2/17/2015
1801,6/23/2016,6/27/2016,64,40,olive,18,119.9,29358,Mrs,7/30/1970,1001,6/17/2016
1815,6/23/2016,6/26/2016,27,7+,magenta,19,39.9,31205,Mrs,12/18/1980,1009,2/17/2015
1816,6/23/2016,NA,27,7,ecru,19,39.9,31205,Mrs,12/18/1980,1009,2/17/2015
1838,6/23/2016,6/28/2016,1025,41,black,96,99.9,31211,Mrs,7/8/1981,1001,6/24/2016
1846,6/23/2016,6/27/2016,90,40,red,24,69.9,31212,Mrs,NA,1010,6/24/2016
1848,6/23/2016,6/27/2016,6,40,blue,6,79.9,31212,Mrs,NA,1010,6/24/2016
1849,6/23/2016,6/29/2016,184,m,red,36,59.9,31212,Mrs,NA,1010,6/24/2016
1861,6/23/2016,6/26/2016,5,l,blue,5,39.9,22118,Mrs,7/21/1966,1002,5/23/2016
1862,6/23/2016,6/26/2016,5,l,petrol,5,69.9,22118,Mrs,7/21/1966,1002,5/23/2016
1863,6/23/2016,6/26/2016,139,l,red,3,29.9,22118,Mrs,7/21/1966,1002,5/23/2016
1864,6/23/2016,6/26/2016,86,l,denim,5,79.9,22118,Mrs,7/21/1966,1002,5/23/2016
1872,6/23/2016,7/2/2016,391,8+,grey,48,49.95,31215,Mrs,7/17/1959,1007,7/18/2015
1876,6/23/2016,NA,895,24,black,39,39.95,22025,Mrs,2/21/1961,1007,2/17/2015
1888,6/23/2016,6/27/2016,1161,39,black,38,159.9,31219,Mrs,12/11/1969,1001,2/17/2015
1892,6/23/2016,6/27/2016,49,42,stained,11,69.9,31219,Mrs,12/11/1969,1001,2/17/2015
1897,6/23/2016,6/27/2016,168,39,grey,1,89.9,31222,Mrs,4/19/1957,1001,6/24/2016
1920,6/23/2016,6/27/2016,373,9,brown,12,89.9,31230,Mrs,1/16/1964,1001,7/21/2015
1922,6/23/2016,NA,158,42,black,54,59.9,31231,Mrs,7/24/1981,1010,6/24/2016
1942,6/23/2016,6/26/2016,129,42,black,50,69.95,31236,Mrs,1/20/1964,1007,2/17/2015
1944,6/23/2016,6/27/2016,67,l,blue,20,49.9,31232,Mrs,9/11/1963,1001,6/24/2016
1946,6/23/2016,6/27/2016,484,6+,brown,19,59.9,31232,Mrs,9/11/1963,1001,6/24/2016
1990,6/23/2016,6/26/2016,666,10,brown,19,69.9,31245,Mrs,12/20/1962,1002,2/17/2015
2018,6/23/2016,6/27/2016,27,4+,blue,19,39.9,31250,Mrs,12/31/1970,1010,6/24/2016
2019,6/23/2016,NA,55,38,blue,1,89.9,31250,Mrs,12/31/1970,1010,6/24/2016
2024,6/23/2016,6/27/2016,294,39,blue,54,129.9,925,Mrs,5/10/1958,1007,3/17/2015
2030,6/23/2016,NA,896,xxl,blue,33,9.9,925,Mrs,5/10/1958,1007,3/17/2015
2043,6/23/2016,6/27/2016,128,l,denim,49,49.9,31253,Mrs,4/7/1983,1008,6/24/2016
2049,6/25/2016,6/26/2016,218,xxl,turquoise,42,69.9,31160,Mrs,7/23/1955,1010,2/17/2015
2053,6/25/2016,6/26/2016,8,41,stained,8,12.9,31160,Mrs,7/23/1955,1010,2/17/2015
2070,6/23/2016,6/26/2016,204,m,purple,5,59.9,29884,Mrs,11/23/1960,1007,2/26/2015
2082,6/23/2016,6/27/2016,435,39,black,38,139.9,31259,Mrs,5/30/1969,1001,6/24/2016
2093,6/23/2016,6/26/2016,242,xl,black,20,59.9,31264,Mrs,2/15/1958,1008,6/24/2016
2099,6/23/2016,6/27/2016,213,l,black,3,69.9,31266,Mrs,1/1/1956,1007,10/22/2015
2101,6/23/2016,6/26/2016,106,40,anthracite,6,39.9,22338,Mrs,11/21/1900,1008,2/17/2015
2103,6/23/2016,NA,83,40,black,39,49.95,22338,Mrs,11/21/1900,1008,2/17/2015
2109,6/23/2016,6/27/2016,218,xl,turquoise,42,69.9,31267,Mrs,9/20/1959,1002,6/24/2016
2118,6/23/2016,6/27/2016,699,44,ocher,39,44.95,30211,Mrs,8/6/1955,1010,6/21/2016
2149,6/23/2016,6/26/2016,440,42,black,1,139.9,31278,Mrs,8/8/1942,1006,3/2/2015
2163,6/23/2016,6/26/2016,122,37,blue,1,79.9,31280,Mrs,6/6/1972,1013,6/24/2016
2166,6/23/2016,6/26/2016,246,41,blue,40,119.9,12670,Mrs,6/30/1971,1002,3/25/2016
2169,6/23/2016,6/26/2016,191,s,white,3,21.9,12670,Mrs,6/30/1971,1002,3/25/2016
2172,6/23/2016,7/2/2016,231,40,black,24,59.9,31282,Mrs,6/7/1980,1002,2/17/2015
2175,6/23/2016,6/26/2016,683,unsized,curry,46,7.9,31283,Mrs,6/6/1947,1010,2/17/2015
2189,6/23/2016,6/26/2016,108,xxl,white,46,29.9,31285,Mrs,12/12/1967,1007,6/24/2016
2195,6/23/2016,6/26/2016,475,43,black,1,139.9,7841,Mrs,3/28/1951,1002,3/27/2016
2198,6/23/2016,6/27/2016,226,l,ash,3,14.9,12273,Mrs,3/27/1954,1010,2/17/2015
2210,6/23/2016,6/29/2016,660,18,nature,39,39.95,3759,Mrs,10/8/1965,1002,10/28/2015
2232,6/23/2016,6/27/2016,70,48,blue,34,24.9,31290,Mrs,NA,1010,6/24/2016
2244,6/23/2016,6/26/2016,102,41,ocher,44,60,26572,Mrs,10/7/1960,1010,9/18/2015
2249,6/23/2016,6/28/2016,200,8,grey,12,69.9,31294,Mrs,10/4/1968,1015,4/27/2015
2256,6/23/2016,7/2/2016,295,l,blue,36,59.9,31296,Mrs,3/15/1957,1007,1/28/2016
2261,6/23/2016,6/27/2016,86,xl,brown,5,49.9,31297,Mrs,4/23/1975,1003,6/24/2016
2277,6/23/2016,6/27/2016,255,xl,black,37,34.9,31299,Mr,5/29/1968,1011,6/24/2016
2292,6/23/2016,6/27/2016,215,l,green,28,59.9,31302,Mrs,12/20/1973,1008,6/24/2016
2295,6/23/2016,6/26/2016,190,m,petrol,3,19.9,23442,Mrs,12/29/1960,1015,2/17/2015
2304,6/23/2016,6/26/2016,32,xxl,green,3,21.9,31303,Mrs,4/15/1950,1001,3/17/2016
2310,6/23/2016,6/28/2016,55,42,purple,1,89.9,31304,Mrs,11/24/1969,1002,2/17/2015
2337,6/23/2016,6/26/2016,22,s,blue,14,39.9,3289,Mrs,3/25/1954,1001,2/17/2015
2350,6/23/2016,6/26/2016,169,42,black,18,139.9,1542,Mrs,1/5/1963,1001,6/24/2016
2355,6/23/2016,6/26/2016,186,xl,black,25,69.9,18709,Mrs,3/12/1958,1008,2/17/2015
2360,6/23/2016,6/26/2016,213,xl,ash,3,39.9,20559,Mrs,11/9/1970,1010,5/18/2016
2363,6/23/2016,6/26/2016,100,38,brown,43,69.9,31313,Mrs,12/13/1971,1007,6/24/2016
2390,6/23/2016,6/27/2016,165,38,black,47,89.9,31322,Mrs,2/28/1964,1015,6/24/2016
2398,6/23/2016,6/26/2016,579,l,grey,3,19.9,19230,Mrs,12/18/1973,1002,10/21/2015
2400,6/23/2016,NA,246,40,black,40,79.9,19230,Mrs,12/18/1973,1002,10/21/2015
2402,6/23/2016,6/26/2016,57,xl,red,3,24.9,31325,Mrs,8/11/1953,1013,3/12/2016
2408,6/23/2016,6/26/2016,26,38,petrol,18,89.9,31328,Mrs,11/21/1949,1011,2/17/2015
2410,6/23/2016,6/26/2016,534,7,stained,21,79.95,31328,Mrs,11/21/1949,1011,2/17/2015
2420,6/25/2016,6/26/2016,896,xl,grey,33,9.9,5041,Mrs,9/11/1976,1010,4/9/2016
2436,6/25/2016,6/26/2016,660,23,black,39,39.95,31337,Mrs,1/25/1954,1008,6/22/2015
2440,6/25/2016,6/27/2016,197,43,ocher,1,149.9,25294,Mrs,9/9/1978,1010,9/7/2015
